SYMBOL,TOKEN,EXCHANGE,MARKET CAP,TIME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,VOLUME
GENSOL,17010,NSE,Small Cap,2024-12-26 13:30:00,715.15,779.95,711.30,764.00,1188520
GENSOL,17010,NSE,Small Cap,2024-12-24 11:30:00,743.50,753.00,711.00,715.85,201243
GENSOL,17010,NSE,Small Cap,2024-12-23 10:30:00,750.00,755.90,740.05,743.50,80831
GENSOL,17010,NSE,Small Cap,2024-12-20 13:45:00,761.00,767.75,745.65,749.30,56606
GENSOL,17010,NSE,Small Cap,2024-12-19 12:45:00,760.00,771.90,757.00,760.00,76496
GENSOL,17010,NSE,Small Cap,2024-12-18 11:45:00,783.20,784.20,755.05,759.75,95865
GENSOL,17010,NSE,Small Cap,2024-12-17 10:45:00,776.05,789.00,771.00,783.10,100056
GENSOL,17010,NSE,Small Cap,2024-12-16 09:45:00,782.90,789.95,773.05,776.95,138733
GENSOL,17010,NSE,Small Cap,2024-12-13 13:00:00,771.40,784.60,770.60,782.80,32983
GENSOL,17010,NSE,Small Cap,2024-12-12 12:00:00,781.40,784.80,769.90,771.40,66390
GENSOL,17010,NSE,Small Cap,2024-12-11 11:00:00,780.00,786.30,774.75,781.55,78649
GENSOL,17010,NSE,Small Cap,2024-12-10 10:00:00,778.00,797.00,775.05,780.00,133916
GENSOL,17010,NSE,Small Cap,2024-12-09 15:15:00,786.00,789.20,774.65,777.60,43815
GENSOL,17010,NSE,Small Cap,2024-12-06 12:15:00,809.90,810.00,783.80,787.00,176892
GENSOL,17010,NSE,Small Cap,2024-12-05 11:15:00,816.50,827.00,806.80,809.85,76115
GENSOL,17010,NSE,Small Cap,2024-12-04 10:15:00,818.95,832.00,812.20,816.40,75139
GENSOL,17010,NSE,Small Cap,2024-12-03 09:15:00,805.00,831.80,802.80,819.00,122483
GENSOL,17010,NSE,Small Cap,2024-12-02 14:30:00,811.20,812.00,797.50,804.00,13713
GENSOL,17010,NSE,Small Cap,2024-11-29 11:30:00,802.00,814.20,793.70,811.00,83649
GENSOL,17010,NSE,Small Cap,2024-11-28 10:30:00,814.25,815.00,795.35,801.60,72650
GENSOL,17010,NSE,Small Cap,2024-11-27 09:30:00,807.85,825.95,803.00,814.00,60297
GENSOL,17010,NSE,Small Cap,2024-11-26 14:45:00,810.00,815.00,802.00,807.80,19952
GENSOL,17010,NSE,Small Cap,2024-11-25 13:45:00,813.45,820.30,806.05,811.35,41922
GENSOL,17010,NSE,Small Cap,2024-11-22 10:45:00,813.30,832.45,808.30,813.30,81797
GENSOL,17010,NSE,Small Cap,2024-11-21 09:45:00,846.65,851.45,808.20,813.30,144487
GENSOL,17010,NSE,Small Cap,2024-11-19 14:00:00,834.45,855.00,822.75,845.80,204332
GENSOL,17010,NSE,Small Cap,2024-11-18 13:00:00,748.75,864.95,748.05,833.05,500627
GENSOL,17010,NSE,Small Cap,2024-11-14 15:15:00,759.10,772.00,746.30,748.00,78887
GENSOL,17010,NSE,Small Cap,2024-11-13 14:15:00,766.00,774.00,753.00,760.05,121325
GENSOL,17010,NSE,Small Cap,2024-11-12 13:15:00,799.10,813.95,765.00,765.60,132560
GENSOL,17010,NSE,Small Cap,2024-11-11 12:15:00,801.05,808.45,786.85,797.00,91215
GENSOL,17010,NSE,Small Cap,2024-11-08 09:15:00,834.15,835.80,795.35,800.95,100764
GENSOL,17010,NSE,Small Cap,2024-11-07 14:30:00,831.50,834.45,828.00,830.90,28409
GENSOL,17010,NSE,Small Cap,2024-11-06 13:30:00,854.15,855.00,830.90,830.90,117038
GENSOL,17010,NSE,Small Cap,2024-11-05 12:30:00,839.50,859.85,836.70,852.65,154325
GENSOL,17010,NSE,Small Cap,2024-11-04 11:30:00,835.50,847.90,827.45,838.80,266710
GENSOL,17010,NSE,Small Cap,2024-10-31 13:45:00,791.95,860.00,786.20,835.60,287984
GENSOL,17010,NSE,Small Cap,2024-10-30 12:45:00,750.00,794.00,743.05,791.55,277725
GENSOL,17010,NSE,Small Cap,2024-10-29 11:45:00,728.85,753.60,727.10,749.65,171259
GENSOL,17010,NSE,Small Cap,2024-10-28 10:45:00,779.00,784.05,727.35,728.75,334417
GENSOL,17010,NSE,Small Cap,2024-10-25 14:00:00,801.55,801.55,767.00,778.00,154455
GENSOL,17010,NSE,Small Cap,2024-10-24 13:00:00,794.65,817.95,791.25,800.60,154821
GENSOL,17010,NSE,Small Cap,2024-10-23 12:00:00,796.90,808.50,791.25,794.70,81513
GENSOL,17010,NSE,Small Cap,2024-10-22 11:00:00,801.25,810.90,781.00,796.95,108611
GENSOL,17010,NSE,Small Cap,2024-10-21 10:00:00,815.40,823.45,795.40,801.20,126135
GENSOL,17010,NSE,Small Cap,2024-10-18 13:15:00,824.40,842.30,813.10,817.55,55552
GENSOL,17010,NSE,Small Cap,2024-10-17 12:15:00,831.30,844.60,812.05,824.00,107797
GENSOL,17010,NSE,Small Cap,2024-10-16 11:15:00,843.55,848.80,827.60,830.05,71104
GENSOL,17010,NSE,Small Cap,2024-10-15 10:15:00,858.75,861.70,841.00,843.95,97846
GENSOL,17010,NSE,Small Cap,2024-10-14 09:15:00,840.05,874.65,839.00,856.80,280301
GENSOL,17010,NSE,Small Cap,2024-10-11 12:30:00,827.00,829.50,821.85,828.30,32868
GENSOL,17010,NSE,Small Cap,2024-10-10 11:30:00,841.15,843.50,821.90,826.50,70990
GENSOL,17010,NSE,Small Cap,2024-10-09 10:30:00,842.00,854.90,836.40,840.00,116906
GENSOL,17010,NSE,Small Cap,2024-10-08 09:30:00,804.15,843.90,791.70,842.50,75747
GENSOL,17010,NSE,Small Cap,2024-10-07 14:45:00,789.75,805.00,781.40,805.00,60186
GENSOL,17010,NSE,Small Cap,2024-10-04 11:45:00,840.00,844.70,786.00,789.60,235673
GENSOL,17010,NSE,Small Cap,2024-10-03 10:45:00,848.75,849.00,811.10,839.80,304720
GENSOL,17010,NSE,Small Cap,2024-10-01 15:00:00,841.10,864.95,811.85,847.40,109527
GENSOL,17010,NSE,Small Cap,2024-09-30 14:00:00,830.00,845.00,820.65,842.00,115145
GENSOL,17010,NSE,Small Cap,2024-09-27 11:00:00,853.85,855.05,822.90,829.20,251457
GENSOL,17010,NSE,Small Cap,2024-09-26 10:00:00,860.00,887.00,835.60,854.00,432352
GENSOL,17010,NSE,Small Cap,2024-09-25 15:15:00,826.35,866.00,825.00,859.95,167518
GENSOL,17010,NSE,Small Cap,2024-09-24 14:15:00,854.95,859.80,816.40,826.00,386119
GENSOL,17010,NSE,Small Cap,2024-09-23 13:15:00,863.00,873.00,854.35,855.00,161008
GENSOL,17010,NSE,Small Cap,2024-09-20 10:15:00,875.00,890.00,859.00,862.90,196032
GENSOL,17010,NSE,Small Cap,2024-09-19 09:15:00,891.00,894.95,864.00,874.65,134106
GENSOL,17010,NSE,Small Cap,2024-09-18 14:30:00,881.60,889.80,879.05,889.80,26889
